cluster;query;region;period;impressions;intent;recommendation
core;"мягкие игрушки на заказ";Россия;"21.04.2026-20.05.2026";1337;"смешанный B2C/B2B, но базово целевой";"использовать, но с фильтрами оптом/логотип/тираж/компания"
core;"мягкие игрушки на заказ";"Москва + Санкт-Петербург";"21.04.2026-20.05.2026";405;"приоритетный региональный спрос";"отдельная кампания Москва+СПб"
core;"пошив мягких игрушек на заказ";Россия;"21.04.2026-20.05.2026";124;"целевой, ближе к услуге";"включить в горячую группу"
core;"изготовление мягких игрушек на заказ";Россия;"21.04.2026-20.05.2026";107;"целевой производственный интент";"включить в горячую группу"
core;"производство мягких игрушек на заказ";Россия;"21.04.2026-20.05.2026";45;"целевой B2B/производственный интент";"включить в горячую группу"
core;"мягкие игрушки на заказ оптом";Россия;"21.04.2026-20.05.2026";63;"целевой по тиражу";"включить в горячую группу"
core;"мягкие игрушки с логотипом на заказ";Россия;"21.04.2026-20.05.2026";37;"очень целевой корпоративный интент";"высокий приоритет"
core;"мягкая игрушка на заказ по индивидуальному дизайну";Россия;"21.04.2026-20.05.2026";29;"целевой, но возможен B2C";"тестировать с фильтром от 200 шт"
logo;"игрушки с логотипом";Россия;"21.04.2026-20.05.2026";444;"широкий корпоративный интент";"тестировать, отсекать елочные и антистресс при необходимости"
logo;"мягкие игрушки с логотипом";Россия;"21.04.2026-20.05.2026";129;"целевой";"включить в горячую группу"
logo;"игрушки с логотипом на заказ";Россия;"21.04.2026-20.05.2026";67;"целевой, но шире мягких игрушек";"тестировать с уточнением мягкие/плюшевые"
logo;"игрушки с логотипом компании";Россия;"21.04.2026-20.05.2026";32;"корпоративный интент";"включить в тестовую группу"
plush;"плюшевые игрушки на заказ";Россия;"21.04.2026-20.05.2026";509;"целевой, но часть B2C";"отдельная плюшевая кампания"
plush;"пошив плюшевых игрушек на заказ";Россия;"21.04.2026-20.05.2026";22;"целевой";"включить в плюшевую горячую группу"
plush;"изготовление плюшевых игрушек на заказ";Россия;"21.04.2026-20.05.2026";10;"целевой";"включить в плюшевую горячую группу"
plush;"производство плюшевых игрушек на заказ";Россия;"21.04.2026-20.05.2026";8;"целевой, низкочастотный";"включить в точное соответствие"
mascot;"маскот на заказ";Россия;"21.04.2026-20.05.2026";35;"целевой, но часть спроса может быть костюмами/2D";"тестировать отдельно с текстом мягкая игрушка-маскот"
production;"производство мягких игрушек";Россия;"21.04.2026-20.05.2026";1839;"широкий, много B2B/инфо/работа";"не запускать широко без уточнений"
production;"завод по производству мягких игрушек";Россия;"21.04.2026-20.05.2026";1211;"часто ищут производителей/бизнес/фабрики";"тестировать осторожно, может быть B2B"
production;"производство мягких игрушек на заказ оптом";Россия;"21.04.2026-20.05.2026";21;"целевой";"включить в горячую группу"
negative;"мягкая игрушка на заказ по фото";Россия;"21.04.2026-20.05.2026";155;"часто B2C поштучно/подарок";"минусовать или отдельный тест с жестким от 200 шт"
negative;"мягкая игрушка по фото питомца на заказ";Россия;"21.04.2026-20.05.2026";16;"B2C, поштучный подарок";"минусовать"
negative;"пошив мягких игрушек на заказ поштучно";Россия;"21.04.2026-20.05.2026";12;"поштучный B2C";"минусовать для основной кампании"
negative;"ткань для пошива мягких игрушек";Россия;"21.04.2026-20.05.2026";38;"материалы/DIY";"минусовать"
negative;"мастер класс по пошиву мягкой игрушки";Россия;"21.04.2026-20.05.2026";29;"обучение/DIY";"минусовать"
negative;"выкройки мягких игрушек";Россия;"21.04.2026-20.05.2026";11;"DIY";"минусовать"
